ID Pembekal	Nama Pembekal
UP00273	BINAAN ERAT SEJATI
UP00274	BINA ASAS ENTERPRISE
UP00275	BINA SUAI SDN BHD
UP00276	BINANIN ENTERPRISE
UP00277	BINARIDZ
UP00278	BLUE HILL TRADING (M) SDN BHD
UP00279	BLUELANE SDN BHD
UP00280	BL CONCEPT ADVERTISING
UP00281	BLINK MEDIA
UP00282	BLACK \& GOLD PRODUCTION AND RESOURCES
UP00283	BM SENSAISI PRO SERVICE SDN BHD
UP00284	BOE OFFICE EQUIPMENT \& FURNITURE SDN BH
UP00285	BORNEO BEST ADVENTURE
UP00286	BOULEVARD ENGINEERING SDN BHD
UP00287	BOK SENG COOL AIR SYSTEM ENTERPRISE
UP00288	BORMAS (MALAYSIA) SDN BHD
UP00289	BOK SENG COOL AIR SYSTEM ENTERPRISE
UP00290	BRILLIANCE INFORMATION SDN BHD
UP00291	BRUNSFIELD INFORMATION TECHNOLOGY
UP00292	BRISTOL TECHNOLOGIES SDN BHD
UP00293	BRILLIANT ENTERPRISE
UP00294	BRIGHT PLUMBING \& ELECTRIC TRADIN
UP00295	BRIYANG ENTERPRISE
UP00296	BSO TECHNOLOGIES SDN BHD
UP00297	BSC ELEVATORS SDN BHD
UP00298	BTS GLOBAL SDN BHD
UP00299	BUSINESS \& SEARCH INFORMATION
UP00300	BUMI BANTAM COMMUNICATIONS SDN BHD
UP00301	BUKIT KURNIA ENGINEERING
UP00302	BUILDING EQUIPMENT SERVICES SDN BHD
UP00303	BUMIMAN ENTERPRISE
UP00304	BUMI MEDIC ENTERPRISE
UP00305	BURO DECOR SDN. BHD.
UP00306	BURHANI STATIONERS
UP00307	BUMERIA CEMERLANG FREIGHT SDN BHD
UP00308	BUMI X (M) SDN BHD
UP00309	BUILDER'S COATING TECHNOLOGY
UP00310	BUMIPLUS ENTERPRISE
UP00311	DAGANGAN CAHAYA ELECTRICAL SDN BHD
UP00312	CARPET RAYA
UP00313	CANON MARKETING (MALAYSIA) SDN.BHD.
UP00314	CABNET SYSTEM (M) SDN BHD
UP00315	CAREFREE SERVICES
UP00316	CARTE MINA ENTERPRISE
UP00317	CAPITAL BUSINESS MACHINES \&
UP00318	CANVAS ART SDN. BHD.
UP00319	CAHAYA HIJRA SDN. BHD.
UP00320	CASHMART TRADING
UP00321	CAVICO (M) SDN BHD
UP00322	CANARY DRY CLEANING SDN BHD
UP00323	CAHAYA UTARA SDN. BHD.
UP00324	CAPITAL EDGE ENTERPRISE
UP00325	CAMPUS ENGINEERING
UP00326	CAHAYA SERI BINA
UP00327	CARLTON HOLIDAY SDN BHD
UP00328	CARTRACO HOLDINGS SDN BHD
UP00329	CARPET RAJAH (M) SDN BHD
UP00330	CAPITAL OFFICE AUTOMATION SDN BHD
UP00331	CANON MARKETING (MALAYSIA) SDN BHD
UP00332	CAM-LITE SDN BHD
UP00333	CALMS TECHNOLOGIES SDN BHD
UP00334	CARPET PRIMA SDN BHD
UP00335	CARGOSAVE HOLDINGS SDN BHD
UP00336	CDR ADVERTISING SDN BHD
UP00337	CERIA IT
UP00338	CELCOM MOBILE SDN BHD
UP00339	CEMPAKA FINANCE BERHAD
UP00340	REFER TO CE103A
UP00341	CENTRAL PROVIDENT FUND BOARD
UP00342	CENTRAL SHOE SDN.BHD.
UP00343	CENTRAL AUDIO CO. SDN. BHD.
UP00344	CELERON COMPUTER SYSTEM
UP00345	CERAH KIARA SDN. BHD.
UP00346	CENTREPOINT SERVICES SDN BHD
UP00347	CERGAS SYSTEM SUPPLIES SDN BHD
UP00348	CEKAL PERANGSANG SDN BHD
UP00349	CELCOM TRANSMISSION (M) SDN BHD
UP00350	CELCOM TIMUR \& COMMUNICATIONS (M)
UP00351	CELCOM MOBILE SDN BHD
UP00352	CELCOM (MALAYSIA) BERHAD
UP00353	CENTURY
UP00354	CENTURY TOTAL LOGISTICS SDN BHD
UP00355	CEKAP PINTAS RESOURCES
UP00356	CENTURY WORKS \& SERVICES
UP00357	CEMARA JAYA SERVICES
UP00358	CESSUN SDN BHD
UP00359	CETAK JITU SDN BHD
UP00360	CENGKIH PRIMA SDN BHD
UP00361	CG COMPUTERS SDN. BHD.
UP00362	CHONGLY ELECTRICAL PLUMBING
UP00363	CHUNGCO TECHNOLOGY SDN BHD
UP00364	CHOP AH LAN SDN. BHD.
UP00365	CHRIS COMPUTER CENTRE
UP00366	CHUEN HUP RENOVATION
UP00367	CHEM-DRY (MALAYSIA) SDN. BHD.
UP00368	CHAIN MARKETING
UP00369	CHAYA TRUE COMMUNICATE SDN. BHD.
UP00370	CHARISMA TECHNOLOGY
UP00371	CHEONG HING FLAG MAKER SDN BHD
UP00372	CHEDA ELEKTRIK
UP00373	CHAN SAM LOCK COLOR LAB \& PHOTO SERVIC
